,Q [mm/d],P [mm]
2005-07-16,0.0,1.7145000000000001
2005-07-17,0.0,12.446000000000002
2005-07-18,0.0,0.0
2005-07-19,0.0,0.635
2005-07-20,0.0,0.381
2005-07-21,0.0,0.0
2005-07-22,0.0,1.27
2005-07-23,0.0,0.0
2005-07-24,0.0,6.451600000000001
2005-07-25,0.0,0.0
2005-07-26,0.0,0.381
2005-07-27,0.0,0.508
2005-07-28,0.0,0.0
2005-07-29,0.0,1.27
2005-07-30,0.0,6.57225
2005-07-31,2.005126297781756e-05,16.92275
2005-08-01,2.005126297781756e-05,0.0
2005-08-02,2.005126297781756e-05,0.0
2005-08-03,2.005126297781756e-05,0.0
2005-08-04,2.005126297781756e-05,4.064
2005-08-05,2.005126297781756e-05,0.0
2005-08-06,2.005126297781756e-05,0.0
2005-08-07,2.005126297781756e-05,4.191
2005-08-08,2.005126297781756e-05,0.0
2005-08-09,4.010252595563512e-05,0.635
2005-08-10,0.0012431783046246887,1.778
2005-08-11,0.0005413841004010741,0.0
2005-08-12,0.01812634173194707,18.034
2005-08-13,0.024663053462715596,4.28625
2005-08-14,0.015018395970385352,29.7815
2005-08-15,0.011970603997757083,0.0
2005-08-16,0.006035430156323084,1.8415
2005-08-17,0.004952661955520937,3.683
2005-08-18,0.0062559940490790784,7.493
2005-08-19,0.009905323911041874,0.0
2005-08-20,0.00607553268227872,0.0
2005-08-21,0.004631841747875856,0.0
2005-08-22,0.004290970277252957,5.8420000000000005
2005-08-23,0.004651893010853674,4.1275
2005-08-24,0.027871255539166407,0.0
2005-08-25,0.03950098806630059,0.0
2005-08-26,0.024663053462715596,0.0
2005-08-27,0.019108853617860133,0.0
2005-08-28,0.0157602927005646,0.0
2005-08-29,0.012291424205402163,0.0
2005-08-30,0.010486810537398585,0.0
2005-08-31,0.008361376661749922,0.0
2005-09-01,0.007218454672014321,0.0
2005-09-02,0.007739787509437578,0.508
2005-09-03,0.005574251107833281,0.0
2005-09-04,0.004852405640631849,0.0
2005-09-05,0.004491482907031134,0.0
2005-09-06,0.003869893754718789,0.0
2005-09-07,0.004250867751297322,8.159749999999999
2005-09-08,0.00443132911809768,8.763
2005-09-09,0.00427091901427514,0.0
2005-09-10,0.003729534913874066,0.0
2005-09-11,0.0033886634432511676,0.0
2005-09-12,0.003148048287517357,0.0
2005-09-13,0.002867330605827911,0.0
2005-09-14,0.002606664187116283,0.0
2005-09-15,0.0024462540832937423,0.0
2005-09-16,0.0022858439794712017,0.0
2005-09-17,0.002325946505426837,0.0
2005-09-18,0.0019449725088483032,0.0
2005-09-19,0.0018046136680035802,0.635
2005-09-20,0.0016241523012032225,0.0
2005-09-21,0.001323383356535959,0.0
2005-09-22,0.0012431783046246887,0.0
2005-09-23,0.0011429219897356009,0.0
2005-09-24,0.0012431783046246887,0.0
2005-09-25,0.001363485882491594,0.0
2005-09-26,0.0013434346195137763,0.0
2005-09-27,0.0013033320935581414,0.0
2005-09-28,0.0012632295676025063,0.0
2005-09-29,0.0012231270416468711,0.0
2005-09-30,0.001183024515691236,0.0
2005-10-01,0.0011429219897356009,0.0
2005-10-02,0.0011028194637799657,0.0
2005-10-03,0.0010627169378243306,3.4290000000000003
2005-10-04,0.0010226144118686954,0.0
2005-10-05,0.0010627169378243306,0.0
2005-10-06,0.0010025631488908779,0.0
2005-10-07,0.0010025631488908779,0.0
2005-10-08,0.0009424093599574253,0.0
2005-10-09,0.0008822555710239725,0.0
2005-10-10,0.000862204308046155,0.0
2005-10-11,0.000862204308046155,0.0
2005-10-12,0.0008421530450683375,0.0
2005-10-13,0.0008421530450683375,0.0
2005-10-14,0.0009223580969796077,5.778499999999999
2005-10-15,0.0008822555710239725,0.0
2005-10-16,0.0008421530450683375,0.0
2005-10-17,0.000862204308046155,0.0
2005-10-18,0.0009624606229352428,0.0
2005-10-19,0.0009223580969796077,0.0
2005-10-20,0.0009023068340017901,0.0
2005-10-21,0.000862204308046155,0.0
2005-10-22,0.0008221017820905199,0.0
2005-10-23,0.0008421530450683375,0.0
2005-10-24,0.0008221017820905199,0.0
2005-10-25,0.000681742941245797,0.0
2005-10-26,0.0006616916782679795,0.0
2005-10-27,0.0006616916782679795,0.0
2005-10-28,0.0006616916782679795,0.0
