,geometry,Year,wetdry
0,POINT (565743.2846125544 3479369.0827875617),2020.0,dry
1,POINT (565746.5149411468 3479372.8991965),2020.0,dry
2,POINT (565749.7452697393 3479376.715605438),2020.0,dry
3,POINT (565752.9755983318 3479380.5320143765),2020.0,dry
4,POINT (565756.2059269242 3479384.348423315),2020.0,dry
5,POINT (565759.4362555168 3479388.1648322535),2020.0,dry
6,POINT (565760.7330347089 3479392.682790191),2020.0,dry
7,POINT (565760.7015244196 3479397.6826909003),2020.0,dry
8,POINT (565762.4320790041 3479402.043267843),2020.0,dry
9,POINT (565765.662386288 3479405.859694817),2020.0,dry
10,POINT (565768.8926935719 3479409.676121792),2020.0,dry
11,POINT (565772.1230008558 3479413.492548766),2020.0,dry
12,POINT (565775.3533081397 3479417.308975741),2020.0,dry
13,POINT (565778.5836154236 3479421.125402715),2020.0,dry
14,POINT (565781.8139227076 3479424.94182969),2020.0,dry
15,POINT (565785.0442299915 3479428.758256664),2020.0,dry
16,POINT (565788.2745372754 3479432.5746836388),2020.0,dry
17,POINT (565791.5048445594 3479436.391110613),2020.0,dry
18,POINT (565794.7351518432 3479440.2075375877),2020.0,dry
19,POINT (565797.9654591271 3479444.023964562),2020.0,dry
20,POINT (565801.195766411 3479447.8403915367),2020.0,dry
21,POINT (565804.426073695 3479451.656818511),2020.0,dry
22,POINT (565807.6563809789 3479455.4732454857),2020.0,dry
23,POINT (565658.9770389441 3479317.2367149456),2020.0,dry
24,POINT (565663.9769399493 3479317.2681782357),2020.0,dry
25,POINT (565668.9768409545 3479317.299641526),2020.0,dry
26,POINT (565673.7095385602 3479317.902634683),2020.0,dry
27,POINT (565676.9399052052 3479321.7190114125),2020.0,dry
28,POINT (565680.1702718502 3479325.5353881414),2020.0,dry
29,POINT (565684.1923030462 3479327.6584539507),2020.0,dry
30,POINT (565689.1922039712 3479327.689929972),2020.0,dry
31,POINT (565694.1921048963 3479327.721405993),2020.0,dry
32,POINT (565699.1920058213 3479327.7528820145),2020.0,dry
33,POINT (565702.5497476734 3479331.296798845),2020.0,dry
34,POINT (565705.7801027191 3479335.113185392),2020.0,dry
35,POINT (565709.4075372946 3479338.0802544127),2020.0,dry
36,POINT (565714.4074381527 3479338.111741057),2020.0,dry
37,POINT (565718.5850055853 3479339.9021170647),2020.0,dry
38,POINT (565721.8153470864 3479343.7185150767),2020.0,dry
39,POINT (565725.0456885875 3479347.534913089),2020.0,dry
40,POINT (565728.2760300885 3479351.351311101),2020.0,dry
41,POINT (565731.5063715896 3479355.167709113),2020.0,dry
42,POINT (565734.7367130907 3479358.984107125),2020.0,dry
43,POINT (565737.9670545917 3479362.800505137),2020.0,dry
44,POINT (565741.1973960928 3479366.616903149),2020.0,dry
45,POINT (565270.2223265284 3479223.773772957),2020.0,dry
46,POINT (565273.4528586993 3479227.5900095706),2020.0,dry
47,POINT (565276.6833908701 3479231.4062461844),2020.0,dry
48,POINT (565281.0644501892 3479232.761337249),2020.0,dry
49,POINT (565286.0643522438 3479232.792633351),2020.0,dry
50,POINT (565291.0642542982 3479232.8239294533),2020.0,dry
51,POINT (565296.0641563527 3479232.855225555),2020.0,dry
52,POINT (565301.0640584071 3479232.886521657),2020.0,dry
53,POINT (565306.0639604615 3479232.917817759),2020.0,dry
54,POINT (565311.063862516 3479232.9491138607),2020.0,dry
65,POINT (565362.8549757426 3479240.1552636106),2020.0,dry
66,POINT (565366.2788845083 3479243.5578029053),2020.0,dry
67,POINT (565371.2787864038 3479243.5891243857),2020.0,dry
68,POINT (565375.6600860972 3479244.943697165),2020.0,dry
69,POINT (565378.8905731837 3479248.7599719437),2020.0,dry
70,POINT (565382.1210602701 3479252.576246722),2020.0,dry
71,POINT (565385.3515473565 3479256.3925215006),2020.0,dry
72,POINT (565388.5820344429 3479260.208796279),2020.0,dry
73,POINT (565391.8125215294 3479264.0250710575),2020.0,dry
74,POINT (565396.7104413405 3479264.2745659743),2020.0,dry
75,POINT (565401.7103430765 3479264.305912914),2020.0,dry
76,POINT (565406.7102448124 3479264.3372598537),2020.0,dry
77,POINT (565411.7101465483 3479264.3686067937),2020.0,dry
78,POINT (565416.7100482844 3479264.399953733),2020.0,dry
79,POINT (565421.7099500203 3479264.431300673),2020.0,dry
80,POINT (565426.7098517563 3479264.462647613),2020.0,dry
81,POINT (565431.7097534923 3479264.4939945526),2020.0,dry
82,POINT (565436.7096552282 3479264.5253414926),2020.0,dry
83,POINT (565441.7095569642 3479264.5566884326),2020.0,dry
84,POINT (565446.7094587001 3479264.588035372),2020.0,dry
85,POINT (565451.7093604362 3479264.619382312),2020.0,dry
86,POINT (565455.6042670904 3479267.014382913),2020.0,dry
87,POINT (565458.8347239085 3479270.8306833133),2020.0,dry
88,POINT (565462.0651807265 3479274.646983714),2020.0,dry
89,POINT (565466.9250591048 3479274.977870523),2020.0,dry
90,POINT (565471.9249606949 3479275.0092407325),2020.0,dry
91,POINT (565476.9248622849 3479275.0406109425),2020.0,dry
92,POINT (565481.2143700991 3479276.5915426784),2020.0,dry
93,POINT (565484.4448153181 3479280.4078528974),2020.0,dry
94,POINT (565487.675260537 3479284.2241631164),2020.0,dry
95,POINT (565492.1405312329 3479285.399139579),2020.0,dry
96,POINT (565497.1404327431 3479285.4305225187),2020.0,dry
97,POINT (565502.1403342533 3479285.461905459),2020.0,dry
98,POINT (565506.8244407815 3479286.1687819464),2020.0,dry
99,POINT (565510.0548744021 3479289.985101983),2020.0,dry
100,POINT (565513.2853080228 3479293.80142202),2020.0,dry
101,POINT (565517.3559734758 3479295.820475566),2020.0,dry
102,POINT (565522.3558748399 3479295.8518817765),2020.0,dry
103,POINT (565527.3557762039 3479295.8832879867),2020.0,dry
104,POINT (565532.355677568 3479295.914694197),2020.0,dry
105,POINT (565537.355578932 3479295.946100407),2020.0,dry
106,POINT (565542.355480296 3479295.977506617),2020.0,dry
107,POINT (565547.35538166 3479296.0089128274),2020.0,dry
108,POINT (565552.355283024 3479296.040319037),2020.0,dry
109,POINT (565557.3551843881 3479296.0717252474),2020.0,dry
110,POINT (565562.3550857521 3479296.1031314577),2020.0,dry
111,POINT (565567.3549871161 3479296.134537668),2020.0,dry
